"startTime","framework","runNumber","caseNumber","factor","factorValue"
"cold_1","swarm","2","replica10","resTime",14.0
"warm_2","swarm","2","replica10","resTime",12.0
"cold_2","swarm","2","replica10","resTime",16.0
"warm_0","swarm","3","replica10","resTime",11.0
"cold_0","swarm","3","replica10","resTime",14.0
"warm_1","swarm","3","replica10","resTime",13.0
"cold_1","swarm","3","replica10","resTime",8.0
"warm_2","swarm","3","replica10","resTime",8.0
"cold_2","swarm","3","replica10","resTime",13.0
"warm_0","swarm","4","replica10","resTime",11.0
"cold_0","swarm","4","replica10","resTime",12.0
"warm_1","swarm","4","replica10","resTime",11.0
"cold_1","swarm","4","replica10","resTime",12.0
"warm_2","swarm","4","replica10","resTime",11.0
"cold_2","swarm","4","replica10","resTime",12.0
"warm_0","swarm","5","replica10","resTime",11.0
"cold_0","swarm","5","replica10","resTime",12.0
"warm_1","swarm","5","replica10","resTime",10.0
"cold_1","swarm","5","replica10","resTime",12.0
"warm_2","swarm","5","replica10","resTime",11.0
"cold_2","swarm","5","replica10","resTime",8.0
"warm_0","swarm","6","replica10","resTime",7.0
"cold_0","swarm","6","replica10","resTime",13.0
"warm_1","swarm","6","replica10","resTime",13.0
"cold_1","swarm","6","replica10","resTime",12.0
"warm_2","swarm","6","replica10","resTime",11.0
"cold_2","swarm","6","replica10","resTime",10.0
"warm_0","k8s","1","replica10","throughput",1051.490514905149
"cold_0","k8s","1","replica10","throughput",776.8286171916711
"warm_1","k8s","1","replica10","throughput",1252.9601722282025
"cold_1","k8s","1","replica10","throughput",809.7954640322805
"warm_2","k8s","1","replica10","throughput",923.5163440177722
"cold_2","k8s","1","replica10","throughput",869.9551569506727
"warm_0","k8s","2","replica10","throughput",961.3478691774034
"cold_0","k8s","2","replica10","throughput",885.8447488584475
"warm_1","k8s","2","replica10","throughput",897.7325312355391
"cold_1","k8s","2","replica10","throughput",790.1167526472984
"warm_2","k8s","2","replica10","throughput",1009.1902202184845
