"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_1","swarm","2","replica10","throughput",338.9899459522287
"cold_1","swarm","2","replica10","throughput",322.9253169462437
"warm_2","swarm","2","replica10","throughput",345.18877973724705
"cold_2","swarm","2","replica10","throughput",342.0713112831339
"warm_0","swarm","3","replica10","throughput",292.7478042659975
"cold_0","swarm","3","replica10","throughput",332.76285013406357
"warm_1","swarm","3","replica10","throughput",322.7644975652944
"cold_1","swarm","3","replica10","throughput",317.4594535757048
"warm_2","swarm","3","replica10","throughput",324.57848756329645
"cold_2","swarm","3","replica10","throughput",341.8507882552893
"warm_0","swarm","4","replica10","throughput",330.3505691793623
"cold_0","swarm","4","replica10","throughput",310.0680416755262
"warm_1","swarm","4","replica10","throughput",317.20050029909186
"cold_1","swarm","4","replica10","throughput",287.0853430455753
"warm_2","swarm","4","replica10","throughput",315.467820443483
"cold_2","swarm","4","replica10","throughput",334.65289730349974
"warm_0","swarm","5","replica10","throughput",332.63001824817513
"cold_0","swarm","5","replica10","throughput",323.0505095259193
"warm_1","swarm","5","replica10","throughput",333.562074684051
"cold_1","swarm","5","replica10","throughput",312.2758177632636
"warm_2","swarm","5","replica10","throughput",295.4614527403505
"cold_2","swarm","5","replica10","throughput",341.41059408838163
"warm_0","swarm","6","replica10","throughput",329.6970382093602
"cold_0","swarm","6","replica10","throughput",217.8988326848249
"warm_1","swarm","6","replica10","throughput",324.16361009225295
"cold_1","swarm","6","replica10","throughput",242.90062966515157
"warm_2","swarm","6","replica10","throughput",327.5678104116359
"cold_2","swarm","6","replica10","throughput",315.65560906975486
"warm_0","k8s","1","replica10","errorPct",0.0
"cold_0","k8s","1","replica10","errorPct",0.0
"warm_1","k8s","1","replica10","errorPct",0.0
"cold_1","k8s","1","replica10","errorPct",0.0
"warm_2","k8s","1","replica10","errorPct",0.0
"cold_2","k8s","1","replica10","errorPct",0.0
"warm_0","k8s","2","replica10","errorPct",0.0
"cold_0","k8s","2","replica10","errorPct",0.0
"warm_1","k8s","2","replica10","errorPct",0.0
"cold_1","k8s","2","replica10","errorPct",0.0
"warm_2","k8s","2","replica10","errorPct",0.0
"cold_2","k8s","2","replica10","errorPct",0.0
"warm_0","k8s","3","replica10","errorPct",0.0
"cold_0","k8s","3","replica10","errorPct",0.0
"warm_1","k8s","3","replica10","errorPct",0.0
"cold_1","k8s","3","replica10","errorPct",0.0
"warm_2","k8s","3","replica10","errorPct",0.0
"cold_2","k8s","3","replica10","errorPct",0.0
"warm_0","k8s","4","replica10","errorPct",0.0
"cold_0","k8s","4","replica10","errorPct",0.0
"warm_1","k8s","4","replica10","errorPct",0.0
"cold_1","k8s","4","replica10","errorPct",0.017143836
